日時,アレイ,札幌→大通り,大通り→札幌,合計
2019-01-01T05:45:00+09:00,J1,876,904,1780
2019-01-01T05:45:00+09:00,J2,715,672,1387
2019-01-01T05:45:00+09:00,J3,923,845,1768
2019-01-01T05:45:00+09:00,J4,777,762,1539
2019-01-01T05:45:00+09:00,J5,565,557,1122
2019-01-01T06:00:00+09:00,J1,860,864,1724
2019-01-01T06:00:00+09:00,J2,647,529,1176
2019-01-01T06:00:00+09:00,J3,946,852,1798
2019-01-01T06:00:00+09:00,J4,719,778,1497
2019-01-01T06:00:00+09:00,J5,637,565,1202
2019-01-01T06:15:00+09:00,J1,1017,1023,2040
2019-01-01T06:15:00+09:00,J2,716,628,1344
2019-01-01T06:15:00+09:00,J3,907,838,1745
2019-01-01T06:15:00+09:00,J4,774,739,1513
2019-01-01T06:15:00+09:00,J5,574,485,1059
2019-01-01T06:30:00+09:00,J1,894,882,1776
2019-01-01T06:30:00+09:00,J2,652,593,1245
2019-01-01T06:30:00+09:00,J3,952,772,1724
2019-01-01T06:30:00+09:00,J4,751,710,1461
2019-01-01T06:30:00+09:00,J5,544,507,1051
2019-01-01T06:45:00+09:00,J1,834,897,1731
2019-01-01T06:45:00+09:00,J2,618,584,1202
2019-01-01T06:45:00+09:00,J3,840,819,1659
2019-01-01T06:45:00+09:00,J4,808,737,1545
2019-01-01T06:45:00+09:00,J5,486,542,1028
2019-01-01T07:00:00+09:00,J1,948,1003,1951
2019-01-01T07:00:00+09:00,J2,808,672,1480
2019-01-01T07:00:00+09:00,J3,1090,955,2045
2019-01-01T07:00:00+09:00,J4,767,735,1502
2019-01-01T07:00:00+09:00,J5,625,616,1241
2019-01-01T07:15:00+09:00,J1,971,1072,2043
2019-01-01T07:15:00+09:00,J2,682,655,1337
2019-01-01T07:15:00+09:00,J3,1069,859,1928
2019-01-01T07:15:00+09:00,J4,767,777,1544
2019-01-01T07:15:00+09:00,J5,578,529,1107
2019-01-01T07:30:00+09:00,J1,953,1048,2001
2019-01-01T07:30:00+09:00,J2,642,670,1312
2019-01-01T07:30:00+09:00,J3,976,933,1909
2019-01-01T07:30:00+09:00,J4,772,833,1605
2019-01-01T07:30:00+09:00,J5,631,572,1203
2019-01-01T07:45:00+09:00,J1,1028,1121,2149
2019-01-01T07:45:00+09:00,J2,667,650,1317
2019-01-01T07:45:00+09:00,J3,1021,892,1913
2019-01-01T07:45:00+09:00,J4,795,779,1574
2019-01-01T07:45:00+09:00,J5,588,539,1127
2019-01-01T08:00:00+09:00,J1,1172,1362,2534
2019-01-01T08:00:00+09:00,J2,852,766,1618
2019-01-01T08:00:00+09:00,J3,1128,1000,2128
2019-01-01T08:00:00+09:00,J4,823,844,1667
2019-01-01T08:00:00+09:00,J5,463,436,899
2019-01-01T08:15:00+09:00,J1,1319,1385,2704
2019-01-01T08:15:00+09:00,J2,746,685,1431
2019-01-01T08:15:00+09:00,J3,1176,1047,2223
2019-01-01T08:15:00+09:00,J4,851,847,1698
2019-01-01T08:15:00+09:00,J5,543,568,1111
2019-01-01T08:30:00+09:00,J1,1261,1525,2786
2019-01-01T08:30:00+09:00,J2,712,707,1419
2019-01-01T08:30:00+09:00,J3,1297,1099,2396
2019-01-01T08:30:00+09:00,J4,870,866,1736
2019-01-01T08:30:00+09:00,J5,519,432,951
2019-01-01T08:45:00+09:00,J1,1215,1321,2536
2019-01-01T08:45:00+09:00,J2,783,730,1513
